player_register_id,direction,gap_years,kbo_season,mlb_season,player,kbo_rel_bb_pct,mlb_rel_bb_pct,kbo_rel_era,mlb_rel_era,kbo_rel_h_pct,mlb_rel_h_pct,kbo_rel_hr_pct,mlb_rel_hr_pct,kbo_rel_k_pct,mlb_rel_k_pct,kbo_age,mlb_age,kbo_batters_faced,mlb_batters_faced,cohort,first_kbo,first_mlb,n_kbo,n_mlb
kim---002gwa,kbo_to_mlb,1,2019,2020,Kwang Hyun Kim*,0.5662973375404599,0.8506706687927962,0.6016795315458524,0.36350187882002494,1.0660257433964673,0.8374541173211442,0.9073367260390159,0.5623139880952381,1.3276714573827813,0.6649923924401019,30,31,786.0,154.0,posted_from_kbo,2007,2020,16.0,2.0
kim---002gwa,mlb_to_kbo,1,2022,2021,Kwang Hyun Kim*,0.7360496518989191,0.9932782248439812,0.5246071561288953,0.8124263775915088,0.888212196138315,0.9983972448120578,0.7432104012005472,0.812083874271966,1.178495010519599,0.7635585951156826,33,32,694.0,452.0,posted_from_kbo,2007,2020,16.0,2.0
kingha001nic,mlb_to_kbo,2,2021,2019,Nick Kingham,0.6602534280328485,1.1326562710645756,0.7182043889155855,1.6188293032087457,0.8834426310299891,1.3361674363601146,0.9013089257690924,1.1690630797773653,1.2190766559196102,0.7735696104563302,29,27,591.0,518.0,import_returnee,2021,2018,1.0,2.0
lauer-000eri,mlb_to_kbo,1,2024,2023,Eric Lauer*,0.8701234567901235,1.3237713721785758,1.00535797034291,1.5157991308546594,0.9592815947543495,1.1537173659273978,0.7964534075104311,2.379088768063269,1.304763224336474,0.8966571384592348,29,28,150.0,211.0,import_returnee,2024,2018,1.0,7.0
lauer-000eri,kbo_to_mlb,1,2024,2025,Eric Lauer*,0.8701234567901235,0.7259573218403121,1.00535797034291,0.7663772550973206,0.9592815947543495,0.9628366642126915,0.7964534075104311,1.1400099713324194,1.304763224336474,1.0776032254543375,29,30,150.0,426.0,import_returnee,2024,2018,1.0,7.0
lehr--001cha,kbo_to_mlb,1,2008,2009,Justin Lehr,0.6752516748034453,1.1020112258379406,1.3750985082215366,1.2459955956720636,1.305236697984268,1.0820883004505835,0.0,1.8162858561509891,0.8398815667543114,0.6426137495620393,30,31,161.0,286.0,import_returnee,2008,2005,1.0,2.0
lindbl001jos,kbo_to_mlb,1,2019,2020,Josh Lindblom,0.43944241546596446,0.9145080837283813,0.5993857158078578,1.1615259615236513,0.903294776099206,1.012837178540232,0.922595946528676,0.9067681064572426,1.4174996814721985,1.1617057326920455,32,33,773.0,191.0,import_returnee,2015,2012,5.0,2.0
linton001dou,mlb_to_kbo,2,2001,1999,Doug Linton,0.6301760167520575,,0.673419092397908,,0.9645512277317453,,0.9773197076891723,,1.0792919579189313,,36,34,321.0,264.0,import_returnee,2001,1993,1.0,4.0
lively001edw,mlb_to_kbo,1,2019,2018,Ben Lively,0.6452303964081644,1.2209811516529125,0.9476967133197665,1.3603177346997573,0.9144989717041345,1.276260380219954,0.9298131247283788,0.9144642361003921,1.424809001863612,0.8366092804787939,27,26,236.0,290.0,import_returnee,2019,2017,2.0,5.0
lopez-001aqu,mlb_to_kbo,1,2009,2008,Aquilino López,0.49887635224293575,0.7345079865791875,0.6506600904004716,0.8218306959832384,1.0505031444331414,1.0667640771399982,0.27116624024354696,1.0063449326353728,0.9704187434569651,1.011792244337389,34,33,802.0,344.0,import_returnee,2009,2003,3.0,2.0
manshi002jef,mlb_to_kbo,1,2017,2016,Jeff Manship,0.8688053097345133,1.4240126355714904,0.7395518858430945,0.7449142241181598,0.9257484198096825,0.9240361023878859,0.5384615384615384,1.2185911401597675,1.0224797682086122,0.9019058857445805,32,31,478.0,189.0,import_returnee,2017,2016,1.0,1.0
mathis001dou,mlb_to_kbo,2,2011,2009,Doug Mathis,1.3042428861788617,0.6544335768057538,0.6085636848626818,0.7338195214895566,0.9467671753577613,0.9746134450279236,0.1960847975553858,0.8628866359787091,0.689824302079484,0.809494064370786,28,26,272.0,172.0,import_returnee,2011,2009,1.0,1.0
mccart000kir,mlb_to_kbo,1,2023,2022,Kirk McCarty*,0.906620160371477,1.002137932874243,0.8192305521179357,1.1458242623385364,0.9901276127078498,1.067810200302275,1.1207377643841734,2.415108811664466,1.2048661638691396,0.7294303007439543,27,26,543.0,159.0,import_returnee,2023,2022,1.0,1.0
mcguir005wil,mlb_to_kbo,1,2019,2018,Deck McGuire,1.5099321896715097,1.7337472473564899,1.2118144442247887,1.4859241737302058,0.9835626961297071,0.9690222812473399,1.3929036458333333,1.6855590792528414,1.1323239643043252,0.8376596373908827,30,29,512.0,354.0,import_returnee,2019,2018,1.0,1.0
mengde000dan,mlb_to_kbo,2,2021,2019,Daniel Mengden,0.6635575822980988,1.2185638928545504,0.8111484863046613,1.0739942639785895,0.9689530910259962,1.0068034810167115,1.157566624692938,0.7410878893833439,1.1394015933128998,0.7035861390086924,28,26,502.0,260.0,import_returnee,2021,2016,1.0,4.0
montgo001mic,mlb_to_kbo,2,2021,2019,Mike Montgomery*,1.4822042669693836,0.9924548381089207,1.2089232247809854,1.100303189401142,0.8412943592259101,1.247149265210852,0.5953877516350972,1.2325129077164354,1.2397098830142326,0.7475915265230952,31,29,244.0,804.0,import_returnee,2021,2015,1.0,5.0
nieve-001fer,mlb_to_kbo,1,2011,2010,Fernando Nieve,1.261245867953185,1.398514524157825,1.4716307168937048,1.4733463752090954,1.1511447421746073,0.8720825304319219,0.732624518338804,2.1742666143273124,1.0631632787543697,1.110989016183443,28,27,364.0,185.0,import_returnee,2011,2006,1.0,3.0
nipper001dus,mlb_to_kbo,1,2011,2010,Dustin Nippert,0.8751931293886989,1.5261374665081051,0.6164584999465609,1.053009321105324,0.8580780761622645,1.0152105793196036,0.559214311245766,1.0746852158602556,1.152720819333345,0.9702741558572755,30,29,763.0,262.0,import_returnee,2011,2007,8.0,4.0
noesi-001hec,mlb_to_kbo,1,2016,2015,Héctor Noesí,0.6300305933147561,1.4403910592356552,0.6569740471001944,1.7415545510471553,0.961898801083709,1.161069064408256,0.3133034607269484,1.7002907461249284,0.9469573097736246,0.7005440214861782,29,28,868.0,154.0,import_returnee,2016,2011,3.0,4.0
obermu001wes,mlb_to_kbo,1,2008,2007,Wes Obermueller,0.8661401290267269,1.5191243236519683,1.4139732443187087,1.4700736071933458,1.0839406801156637,1.0861551459634926,1.6593236484877352,0.9581400040346985,0.9101408901270277,0.7377520270899997,31,30,364.0,278.0,import_returnee,2008,2003,1.0,4.0
ogando001ale,mlb_to_kbo,2,2017,2015,Alexi Ogando,0.7948113646949232,1.3189565188838703,0.7904143475572046,1.01010163960735,0.9565486961830498,0.9288961450394835,0.6192712550607287,1.6204937074981265,0.88536485584027,0.9382737616295023,33,31,475.0,277.0,import_returnee,2017,2010,1.0,5.0
oh----000seu,mlb_to_kbo,2,2020,2018,Seunghwan Oh,0.7954628438537459,0.7322916152857493,0.5557635144852189,0.6356298529277429,0.9152921448709799,0.8565963385133035,0.4135083934691911,0.9678636075515098,1.1152138849133328,1.2953986628662588,37,35,201.0,548.0,posted_from_kbo,2005,2016,12.0,3.0
oller-000ada,mlb_to_kbo,1,2025,2024,Adam Oller,0.8285883397454867,1.4225634493569383,0.8411706278432943,1.305228704880211,0.8803428048216045,1.042351426225067,0.6066574578153354,1.2392023418981057,1.3845632988435788,0.8435611931983026,30,29,620.0,189.0,import_returnee,2025,2022,2.0,2.0
paddac000chr,mlb_to_kbo,1,2026,2025,Chris Paddack,0.48039489042751804,0.656862187534271,0.6316334407053898,1.2897930813919782,0.8418870890337119,1.1291535248169935,0.8641338615055649,1.4980071324791968,1.3690190828091018,0.7523354564366016,30,29,244.0,1340.0,import_returnee,2026,2019,1.0,6.0
paddac000chr,kbo_to_mlb,0,2026,2026,Chris Paddack,0.48039489042751804,0.7984460570554697,0.6316334407053898,1.624756027722263,0.8418870890337119,1.313268026494381,0.8641338615055649,1.1112408282782482,1.3690190828091018,0.678357678533163,30,30,244.0,534.0,import_returnee,2026,2019,1.0,6.0
park--001cha,mlb_to_kbo,2,2012,2010,Chan Ho Park,1.0323853081571708,0.8037571210619285,1.3235107880645829,1.1455075220866526,1.0844440131124913,1.0195209438502684,1.3131760339342522,1.3022136377176168,0.7482698623709728,1.0117109367365316,39,37,552.0,556.0,import_returnee,2012,1996,1.0,13.0
