key_mlbam,season,PA,AB,H,2B,3B,HR,SO,BB,IBB,HBP,SF,SH,TB,RBI,SB,CS,R,G,GIDP,age
111850,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,27
111850,2000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,0,28
111850,2001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,29
111850,2002,20,19,2,0,0,0,10,0,0,0,0,1,2,0,0,0,1,50,0,30
112470,1992,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,24
112496,1997,38,37,5,0,0,0,11,1,0,0,0,0,5,3,1,0,3,18,1,23
112496,1998,379,334,82,13,6,2,70,31,6,6,5,3,113,34,2,2,30,110,8,24
112496,1999,152,135,35,9,0,2,32,14,0,0,2,1,50,21,3,2,18,74,2,25
112496,2000,39,32,7,1,0,1,4,6,0,0,1,0,11,2,0,0,9,14,1,26
112496,2001,148,127,32,8,1,2,30,17,0,1,2,1,48,14,5,1,19,50,0,27
112496,2002,14,11,1,1,0,0,3,1,1,1,0,1,2,0,0,0,3,13,0,28
112496,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,29
112496,2004,42,36,10,1,0,1,10,5,0,1,0,0,14,4,1,0,7,32,2,30
112634,1995,38,35,5,1,0,0,7,2,0,0,0,1,6,5,1,0,2,22,0,25
112634,1999,5,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,29
112901,1996,92,77,18,3,0,3,24,12,0,2,0,1,30,10,0,1,10,33,2,23
112901,1997,29,25,4,1,0,0,4,3,0,0,1,0,5,3,0,0,3,16,3,24
112901,1998,8,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,25
112901,1999,96,88,29,5,1,3,13,5,0,1,1,1,45,17,0,2,14,32,4,26
112901,2000,36,29,7,3,0,0,4,5,0,1,1,0,10,5,1,0,3,11,0,27
112901,2001,332,288,62,10,0,8,100,30,0,8,4,2,96,36,0,8,38,144,8,28
112901,2002,107,88,24,3,1,2,20,13,0,3,2,1,35,6,3,1,12,35,2,29
112901,2004,167,147,33,8,0,3,43,16,2,4,0,0,50,28,0,0,22,96,5,31
112901,2005,145,127,30,10,0,4,46,16,1,1,1,0,52,18,0,0,12,110,0,32
112906,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,24
112906,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,26
112906,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
112906,2001,6,6,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,66,0,28
112906,2002,16,13,0,0,0,0,8,1,0,0,0,2,0,1,0,0,0,43,0,29
112906,2003,15,13,2,1,0,0,2,0,0,0,0,2,3,1,0,0,1,20,0,30
113243,1988,26,22,2,1,1,0,4,4,0,0,0,0,5,1,0,0,1,11,3,21
113243,1989,92,87,22,3,1,0,14,5,0,0,0,0,27,6,0,0,6,28,2,22
113243,1991,32,30,5,2,0,0,4,2,0,0,0,0,7,0,0,0,1,16,2,24
113328,1997,51,50,11,2,1,0,5,1,0,0,0,0,15,7,0,0,4,16,3,25
114014,1996,10,10,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,7,0,27
114385,1997,37,34,11,0,0,2,10,3,0,0,0,0,17,2,0,0,6,17,0,25
114499,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26
114499,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29
114499,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,30
114499,2001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,31
114499,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,32
114551,1986,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,22
114588,1995,20,20,4,0,0,0,4,0,0,0,0,0,4,0,0,0,1,13,0,19
114588,1996,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20
114588,1997,46,39,5,0,0,1,14,6,1,0,1,0,8,8,0,0,5,15,0,21
114588,1998,354,333,74,10,8,9,78,18,1,0,3,0,127,43,5,4,39,113,6,22
114588,1999,310,288,69,10,3,14,67,20,1,0,1,0,127,32,2,4,38,96,2,23
114588,2000,66,66,6,0,0,0,20,0,0,0,0,0,6,0,0,0,2,32,2,24
114588,2001,50,45,14,3,0,5,13,3,0,1,1,0,32,9,0,0,8,20,1,25
114588,2002,420,404,120,16,0,32,82,12,0,0,4,0,232,104,0,6,60,106,12,26
114588,2003,524,488,128,12,0,22,104,28,4,2,6,0,206,70,0,4,50,152,16,27
114588,2004,550,516,118,14,4,20,100,28,2,0,6,0,200,66,6,0,66,170,14,28
115475,2004,4,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,55,0,32
115475,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,33
115475,2007,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,35
115780,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23
115780,1998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,24
115842,1995,77,70,17,1,2,0,11,6,0,0,1,0,22,2,1,3,9,33,1,22
115842,1996,346,320,86,15,1,6,59,20,1,3,0,3,121,30,8,2,44,108,5,23
116611,1997,15,13,1,0,0,0,5,0,0,0,0,2,1,1,0,0,1,11,0,21
116611,1998,3,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,22
116611,1999,4,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,23
116611,2000,26,22,4,0,0,0,8,1,0,0,0,3,4,3,0,0,1,41,1,24
116611,2001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,25
116768,1988,6,6,2,1,0,0,1,0,0,0,0,0,3,1,1,0,2,8,0,23
116768,1989,61,57,11,2,0,0,13,4,0,0,0,0,13,5,0,1,3,20,2,24
116768,1990,916,852,226,32,2,22,162,48,0,10,2,4,328,104,24,12,108,252,18,25
116768,1991,625,568,173,40,6,8,113,50,8,2,5,0,249,77,20,12,69,154,12,26
116768,1992,551,509,150,22,3,14,100,40,8,1,1,0,220,75,28,12,62,131,9,27
116768,1993,539,499,126,24,3,6,95,36,5,1,2,1,174,43,31,13,64,149,5,28
116768,1994,403,366,111,28,1,11,75,35,6,0,2,0,174,55,10,12,56,99,9,29
116768,1995,32,30,4,1,0,0,9,2,0,0,0,0,5,1,0,0,2,9,1,30
116768,2000,32,29,7,0,0,1,9,2,0,0,1,0,10,5,0,1,4,20,1,35
116768,2002,25,19,5,0,0,2,8,4,0,0,2,0,11,4,0,0,5,13,1,37
116768,2003,24,18,6,1,0,1,3,6,1,0,0,0,10,6,0,0,1,18,1,38
117742,1993,3,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,57,0,27
117742,1994,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,45,0,28
117742,1995,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,0,29
117742,1996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,30
117742,1997,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,31
117769,1997,5,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,52,0,24
117769,1998,91,79,11,2,0,0,27,2,0,0,1,9,13,4,0,0,6,33,0,25
117769,1999,91,75,6,0,0,0,24,3,0,0,0,13,6,2,0,0,4,36,3,26
117769,2000,69,60,10,2,0,0,17,1,0,0,0,8,12,2,0,0,6,33,1,27
117769,2001,36,34,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,64,0,28
117769,2003,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,14,0,30
117769,2004,57,48,9,0,0,0,19,1,0,0,0,8,9,2,0,0,1,38,2,31
117769,2005,4,3,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,32,0,32
117769,2006,6,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,33
117800,1994,9,7,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,32,0,29
118269,1994,3,3,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,46,0,30
